Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Address ID
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,22153-000001
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,10009-000001
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,49201-000001
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,38109-000001
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,77041-000001
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,77070-000001
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,35601-000001
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,94122-000001
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,27707-000001
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,60623-000001
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,29203-000001
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,55901-000001
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,77095-000001
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,90036-000001
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,55407-000001
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,97206-000001
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,10009-000001
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,94122-000001
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,55106-000001
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,60610-000001
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,55901-000001
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,80013-000001
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,28205-000001
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,60462-000001
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,10035-000001
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,50322-000001
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,43229-000001
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,98103-000001
US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,37620-000001
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,19805-000001
US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,77041-000001
US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,61701-000001
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,85023-000001
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,90004-000001
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,43229-000001
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,95661-000001
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,19140-000001
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,94122-000001
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,64055-000001
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,91104-000001
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,43055-000001
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,53132-000001
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,85254-000001
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,95123-000001
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,98105-000001
CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,98115-000001
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,73034-000001
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,90045-000001
CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,19134-000001
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,88220-000001
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,98115-000001
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,78207-000001
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,90004-000001
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,60623-000001
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,77036-000001
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,43055-000001
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,10009-000001
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,62521-000001
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,71203-000001
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,6824-000001
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,90032-000001
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,75051-000001
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,10035-000001
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,92374-000001
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,45011-000001
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,7090-000001
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,19120-000001
CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,44312-000001
CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,80219-000001
US-2017-116701,2017-12-17,2017-12-21,Second Class,LC-17140,75220-000001
CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,37064-000001
CA-2017-108329,2017-12-09,2017-12-14,Standard Class,LE-16810,90604-000001
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,48601-000001
CA-2015-101007,2015-02-09,2015-02-13,Second Class,MS-17980,75220-000001
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,44256-000001
CA-2016-130162,2016-10-28,2016-11-01,Standard Class,JH-15910,90032-000001
CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,43017-000001
CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,48227-000001
US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,38401-000001
US-2014-156216,2014-09-13,2014-09-17,Standard Class,EA-14035,28205-000001
US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,33614-000001
CA-2017-160514,2017-11-12,2017-11-16,Standard Class,DB-13120,95051-000001
CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,60610-000001
CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,55044-000001
CA-2016-154739,2016-12-10,2016-12-15,Second Class,LH-17155,94109-000001
CA-2016-145625,2016-09-11,2016-09-17,Standard Class,KC-16540,92037-000001
CA-2016-146941,2016-12-10,2016-12-13,First Class,DL-13315,10024-000001
US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,60623-000001
CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,10009-000001
US-2017-155299,2017-06-08,2017-06-12,Standard Class,Dl-13600,77506-000001
US-2014-106992,2014-09-19,2014-09-21,Second Class,SB-20290,77036-000001
CA-2016-125318,2016-06-06,2016-06-13,Standard Class,RC-19825,60610-000001
CA-2015-155040,2015-11-10,2015-11-15,Standard Class,AH-10210,94513-000001
CA-2017-136826,2017-06-16,2017-06-20,Standard Class,CB-12535,27514-000001
CA-2016-111010,2016-01-22,2016-01-28,Standard Class,PG-18895,7960-000001
US-2017-145366,2017-12-09,2017-12-13,Standard Class,CA-12310,45231-000001
CA-2017-163979,2017-12-28,2018-01-02,Second Class,KH-16690,94110-000001
CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,94109-000001
CA-2017-118136,2017-09-16,2017-09-17,First Class,BB-10990,90301-000001
CA-2017-132976,2017-10-13,2017-10-17,Standard Class,AG-10495,19140-000001
US-2015-161991,2015-09-26,2015-09-28,Second Class,SC-20725,77070-000001
CA-2015-130890,2015-11-02,2015-11-06,Standard Class,JO-15280,90004-000001
CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,97206-000001
CA-2016-112697,2016-12-18,2016-12-20,Second Class,AH-10195,33319-000001
CA-2016-110772,2016-11-20,2016-11-24,Second Class,NZ-18565,43229-000001
CA-2014-111451,2014-12-26,2014-12-28,First Class,KL-16555,80906-000001
CA-2016-142545,2016-10-28,2016-11-03,Standard Class,JD-15895,7109-000001
US-2017-152380,2017-11-19,2017-11-23,Standard Class,JH-15910,60623-000001
CA-2015-144253,2015-05-04,2015-05-09,Second Class,AS-10225,10024-000001
CA-2014-130960,2014-12-30,2015-01-04,Standard Class,KB-16600,48180-000001
CA-2014-111003,2014-06-01,2014-06-06,Standard Class,CR-12625,8701-000001
CA-2017-126774,2017-04-15,2017-04-17,First Class,SH-20395,22204-000001
CA-2016-142902,2016-09-12,2016-09-14,Second Class,BP-11185,80004-000001
CA-2014-120887,2014-09-27,2014-10-03,Standard Class,TS-21205,7601-000001
CA-2014-167850,2014-08-09,2014-08-16,Standard Class,AG-10525,33710-000001
CA-2014-164259,2014-12-28,2014-12-30,First Class,SP-20860,19143-000001
CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,10024-000001
CA-2014-156601,2014-09-19,2014-09-24,Standard Class,FA-14230,90805-000001
CA-2016-162138,2016-04-23,2016-04-27,Standard Class,GK-14620,92345-000001
CA-2017-153339,2017-11-03,2017-11-05,Second Class,DJ-13510,37130-000001
US-2016-141544,2016-08-30,2016-09-01,First Class,PO-18850,19143-000001
US-2016-150147,2016-04-25,2016-04-29,Second Class,JL-15850,19134-000001
CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,90045-000001
CA-2014-129924,2014-07-12,2014-07-17,Standard Class,AC-10420,94122-000001
CA-2015-128167,2015-06-22,2015-06-26,Second Class,KL-16645,84041-000001
CA-2014-122336,2014-04-13,2014-04-17,Second Class,JD-15895,19140-000001
US-2015-120712,2015-12-20,2015-12-24,Standard Class,CS-12130,78745-000001
CA-2017-169901,2017-06-15,2017-06-19,Standard Class,CC-12550,94122-000001
CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,1852-000001
CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,10009-000001
CA-2016-138520,2016-04-08,2016-04-13,Standard Class,JL-15505,10035-000001
CA-2016-130001,2016-04-23,2016-04-28,Standard Class,HK-14890,28205-000001
CA-2017-155698,2017-03-08,2017-03-11,First Class,VB-21745,31907-000001
CA-2017-144904,2017-09-25,2017-10-01,Standard Class,KW-16435,10009-000001
CA-2014-123344,2014-09-24,2014-09-29,Standard Class,JD-16060,94109-000001
CA-2016-155516,2016-10-21,2016-10-21,Same Day,MK-17905,6040-000001
CA-2017-104745,2017-05-29,2017-06-04,Standard Class,GT-14755,78550-000001
US-2014-119137,2014-07-23,2014-07-27,Standard Class,AG-10900,85705-000001
US-2016-134656,2016-09-28,2016-10-01,First Class,MM-18280,62301-000001
US-2017-134481,2017-08-27,2017-09-01,Standard Class,AR-10405,2038-000001
CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,77095-000001
CA-2016-134775,2016-10-28,2016-10-29,First Class,AS-10285,94109-000001
CA-2015-125395,2015-06-26,2015-06-29,Second Class,LA-16780,48180-000001
US-2015-168935,2015-11-27,2015-12-02,Standard Class,DO-13435,33024-000001
CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,19140-000001
CA-2014-115973,2014-11-24,2014-11-26,First Class,NG-18430,45231-000001
CA-2017-101798,2017-12-11,2017-12-15,Standard Class,MV-18190,10009-000001
US-2014-135972,2014-09-21,2014-09-23,Second Class,JG-15115,98198-000001
US-2014-134971,2014-06-07,2014-06-10,Second Class,BP-11095,61604-000001
CA-2017-102946,2017-06-30,2017-07-05,Standard Class,VP-21730,89115-000001
CA-2017-165603,2017-10-17,2017-10-19,Second Class,SS-20140,2886-000001
CA-2015-122259,2015-10-31,2015-11-04,Standard Class,HP-14815,49201-000001
CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,77036-000001
CA-2014-113166,2014-12-24,2014-12-26,First Class,LF-17185,33180-000001
CA-2014-155208,2014-04-16,2014-04-20,Standard Class,SP-20650,28403-000001
CA-2017-117933,2017-12-24,2017-12-29,Standard Class,RF-19840,10024-000001
CA-2017-117457,2017-12-08,2017-12-12,Standard Class,KH-16510,94110-000001
CA-2017-142636,2017-11-03,2017-11-07,Standard Class,KC-16675,98105-000001
CA-2017-122105,2017-06-24,2017-06-28,Standard Class,CJ-12010,92646-000001
CA-2016-148796,2016-04-14,2016-04-18,Standard Class,PB-19150,90004-000001
CA-2017-154816,2017-11-06,2017-11-10,Standard Class,VB-21745,40475-000001
CA-2017-110478,2017-03-04,2017-03-09,Standard Class,SP-20860,90045-000001
CA-2014-142048,2014-06-22,2014-06-25,First Class,JE-15745,80027-000001
CA-2017-125388,2017-10-19,2017-10-23,Standard Class,MP-17965,1841-000001
CA-2017-155705,2017-08-21,2017-08-23,Second Class,NF-18385,39212-000001
CA-2017-149160,2017-11-23,2017-11-26,Second Class,JM-15265,48187-000001
CA-2014-101476,2014-09-12,2014-09-13,First Class,SD-20485,10801-000001
CA-2017-152275,2017-10-01,2017-10-08,Standard Class,KH-16630,78207-000001
US-2016-123750,2016-04-15,2016-04-21,Standard Class,RB-19795,28052-000001
CA-2016-127369,2016-06-06,2016-06-07,First Class,DB-13060,1852-000001
US-2014-150574,2014-12-19,2014-12-25,Standard Class,MK-18160,32216-000001
CA-2016-147375,2016-06-12,2016-06-14,Second Class,PO-19180,60623-000001
CA-2017-130043,2017-09-15,2017-09-19,Standard Class,BB-11545,77070-000001
CA-2017-157252,2017-01-20,2017-01-23,Second Class,CV-12805,10024-000001
CA-2016-115756,2016-09-05,2016-09-07,Second Class,PK-19075,48227-000001
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,47201-000001
CA-2016-166674,2016-04-01,2016-04-03,Second Class,RB-19360,13021-000001
CA-2017-147277,2017-10-20,2017-10-24,Standard Class,EB-13705,44312-000001
CA-2016-100153,2016-12-13,2016-12-17,Standard Class,KH-16630,73071-000001
US-2014-110674,2014-02-12,2014-02-18,Standard Class,SC-20095,94521-000001
US-2016-157945,2016-09-26,2016-10-01,Standard Class,NF-18385,62521-000001
CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,98115-000001
CA-2016-109869,2016-04-22,2016-04-29,Standard Class,TN-21040,85023-000001
US-2015-101399,2015-01-17,2015-01-24,Standard Class,JS-15940,60068-000001
CA-2017-154907,2017-03-31,2017-04-04,Standard Class,DS-13180,79109-000001
US-2016-100419,2016-12-16,2016-12-20,Second Class,CC-12670,60610-000001
CA-2015-154144,2015-12-20,2015-12-24,Standard Class,MH-17785,11757-000001
CA-2014-144666,2014-11-09,2014-11-11,Second Class,JP-15520,94110-000001
CA-2016-103891,2016-07-12,2016-07-19,Standard Class,KH-16690,90008-000001
CA-2016-152632,2016-10-27,2016-11-02,Standard Class,JE-15475,12180-000001
CA-2016-100790,2016-06-26,2016-07-02,Standard Class,JG-15805,10024-000001
CA-2014-134677,2014-10-06,2014-10-10,Standard Class,XP-21865,92024-000001
CA-2014-127691,2014-07-22,2014-07-27,Standard Class,EM-14065,10024-000001
CA-2017-140963,2017-06-10,2017-06-13,First Class,MT-18070,90045-000001
CA-2014-154627,2014-10-29,2014-10-31,First Class,SA-20830,60610-000001
CA-2014-133753,2014-06-09,2014-06-13,Second Class,CW-11905,77340-000001
CA-2014-113362,2014-09-14,2014-09-19,Standard Class,AJ-10960,14609-000001
CA-2016-169166,2016-05-09,2016-05-14,Standard Class,SS-20590,98115-000001
US-2016-120929,2016-03-18,2016-03-21,Second Class,RO-19780,38109-000001
CA-2015-134782,2015-12-27,2015-12-31,Standard Class,MD-17350,72701-000001
CA-2016-126158,2016-07-25,2016-07-31,Standard Class,SC-20095,92627-000001
US-2016-105578,2016-05-30,2016-06-04,Standard Class,MY-17380,80134-000001
CA-2017-134978,2017-11-12,2017-11-15,Second Class,EB-13705,10024-000001
CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,30318-000001
CA-2017-135307,2017-11-26,2017-11-27,First Class,LS-17245,64118-000001
CA-2016-106341,2016-10-20,2016-10-23,First Class,LF-17185,43055-000001
CA-2017-163405,2017-12-21,2017-12-25,Standard Class,BN-11515,90049-000001
CA-2017-127432,2017-01-22,2017-01-27,Standard Class,AD-10180,59405-000001
CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,77041-000001
CA-2017-145142,2017-01-23,2017-01-25,First Class,MC-17605,48234-000001
US-2016-139486,2016-05-21,2016-05-23,First Class,LH-17155,90032-000001
CA-2015-158792,2015-12-26,2016-01-02,Standard Class,BD-11605,1841-000001
CA-2017-113558,2017-10-21,2017-10-26,Standard Class,PH-18790,33801-000001
US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,19134-000001
CA-2015-102848,2015-11-07,2015-11-09,Second Class,KB-16240,90036-000001
US-2017-129441,2017-09-07,2017-09-11,Standard Class,JC-15340,90032-000001
CA-2016-168753,2016-05-29,2016-06-01,Second Class,RL-19615,36116-000001
CA-2016-126613,2016-07-10,2016-07-16,Standard Class,AA-10375,85204-000001
US-2017-122637,2017-09-03,2017-09-08,Second Class,EP-13915,60653-000001
CA-2015-147851,2015-12-03,2015-12-08,Standard Class,MP-17470,10009-000001
CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,42420-000001
CA-2014-140795,2014-02-01,2014-02-03,First Class,BD-11500,54302-000001
CA-2016-136924,2016-07-14,2016-07-17,First Class,ES-14080,85705-000001
US-2015-120161,2015-12-18,2015-12-23,Standard Class,LM-17065,45503-000001
CA-2014-103849,2014-05-11,2014-05-16,Standard Class,PG-18895,76106-000001
CA-2017-162929,2017-11-19,2017-11-22,First Class,AS-10135,10035-000001
CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,60653-000001
CA-2016-136406,2016-04-15,2016-04-17,Second Class,BD-11320,94110-000001
CA-2017-112774,2017-09-11,2017-09-12,First Class,RC-19960,32216-000001
CA-2017-101945,2017-11-24,2017-11-28,Standard Class,GT-14710,77070-000001
CA-2017-100650,2017-06-29,2017-07-03,Second Class,DK-13225,92804-000001
CA-2014-155852,2014-03-03,2014-03-07,Second Class,AJ-10945,28403-000001
CA-2016-113243,2016-06-10,2016-06-15,Standard Class,OT-18730,90045-000001
CA-2017-118731,2017-11-20,2017-11-22,Second Class,LP-17080,94110-000001
CA-2014-145576,2014-09-14,2014-09-18,Second Class,CA-12775,33614-000001
CA-2015-130736,2015-12-07,2015-12-09,First Class,JF-15490,98105-000001
CA-2017-137099,2017-12-07,2017-12-10,First Class,FP-14320,90008-000001
CA-2017-156951,2017-10-01,2017-10-08,Standard Class,EB-13840,98105-000001
CA-2017-164826,2017-12-28,2018-01-04,Standard Class,JF-15415,10024-000001
CA-2016-127250,2016-11-03,2016-11-07,Standard Class,SF-20200,98270-000001
CA-2015-149713,2015-09-18,2015-09-22,Second Class,TG-21640,90805-000001
CA-2017-118640,2017-07-20,2017-07-26,Standard Class,CS-11950,60610-000001
CA-2015-132906,2015-09-10,2015-09-14,Standard Class,CC-12145,90004-000001
CA-2017-145233,2017-12-01,2017-12-05,Standard Class,DV-13465,80219-000001
CA-2015-128139,2015-07-03,2015-07-09,Standard Class,BD-11725,40475-000001
US-2016-156986,2016-03-20,2016-03-24,Standard Class,ZC-21910,97301-000001
CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,78041-000001
CA-2014-131450,2014-08-08,2014-08-15,Standard Class,LR-16915,92024-000001
CA-2016-120180,2016-07-14,2016-07-16,First Class,TP-21130,19134-000001
US-2016-100720,2016-07-16,2016-07-21,Standard Class,CK-12205,19120-000001
CA-2014-149958,2014-03-15,2014-03-19,Standard Class,AS-10240,33614-000001
US-2014-105767,2014-05-23,2014-05-27,Standard Class,AR-10510,19134-000001
CA-2016-161816,2016-04-28,2016-05-01,First Class,NB-18655,75217-000001
CA-2016-121223,2016-09-11,2016-09-13,Second Class,GD-14590,19143-000001
CA-2017-138611,2017-11-14,2017-11-17,Second Class,CK-12595,43123-000001
CA-2017-117947,2017-08-18,2017-08-23,Second Class,NG-18355,10011-000001
US-2014-111171,2014-12-26,2014-12-31,Standard Class,CA-12265,60610-000001
CA-2015-138009,2015-11-29,2015-12-03,Standard Class,SF-20965,48126-000001
CA-2017-163020,2017-09-15,2017-09-19,Standard Class,MO-17800,10009-000001
CA-2017-153787,2017-05-19,2017-05-23,Standard Class,AT-10735,98115-000001
CA-2017-133431,2017-12-17,2017-12-21,Standard Class,LC-17140,94122-000001
US-2016-135720,2016-12-11,2016-12-13,Second Class,FM-14380,80013-000001
CA-2017-144694,2017-09-24,2017-09-26,Second Class,BD-11605,33180-000001
CA-2015-168004,2015-10-04,2015-10-09,Second Class,DJ-13420,31088-000001
US-2016-123470,2016-08-15,2016-08-21,Standard Class,ME-17725,80013-000001
CA-2016-115917,2016-05-20,2016-05-25,Standard Class,RB-19465,94591-000001
CA-2016-147067,2016-12-18,2016-12-22,Standard Class,JD-16150,55407-000001
CA-2017-167913,2017-07-30,2017-08-03,Second Class,JL-15835,92691-000001
CA-2017-106103,2017-06-10,2017-06-15,Standard Class,SC-20305,48307-000001
US-2017-127719,2017-07-21,2017-07-25,Standard Class,TW-21025,7060-000001
CA-2017-126221,2017-12-30,2018-01-05,Standard Class,CC-12430,47201-000001
CA-2016-103947,2016-04-01,2016-04-08,Standard Class,BB-10990,85635-000001
CA-2016-160745,2016-12-11,2016-12-16,Second Class,AR-10825,98661-000001
CA-2016-132661,2016-10-23,2016-10-29,Standard Class,SR-20740,10024-000001
CA-2017-140844,2017-06-19,2017-06-23,Standard Class,AR-10405,10035-000001
CA-2016-137239,2016-08-22,2016-08-28,Standard Class,CR-12730,43229-000001
US-2016-156097,2016-09-19,2016-09-19,Same Day,EH-14125,60505-000001
CA-2015-146563,2015-08-24,2015-08-28,Standard Class,CB-12025,76017-000001
CA-2016-123666,2016-03-26,2016-03-30,Standard Class,SP-20545,10011-000001
CA-2016-143308,2016-11-04,2016-11-04,Same Day,RC-19825,40214-000001
CA-2017-132682,2017-06-08,2017-06-10,Second Class,TH-21235,75081-000001
CA-2014-156314,2014-12-24,2014-12-26,First Class,RP-19390,44105-000001
US-2017-106663,2017-06-09,2017-06-13,Standard Class,MO-17800,60653-000001
CA-2017-111178,2017-06-15,2017-06-22,Standard Class,TD-20995,62301-000001
CA-2017-130351,2017-12-05,2017-12-08,First Class,RB-19570,47201-000001
US-2017-119438,2017-03-18,2017-03-23,Standard Class,CD-11980,75701-000001
CA-2016-164511,2016-11-19,2016-11-24,Standard Class,DJ-13630,10024-000001
US-2017-168116,2017-11-04,2017-11-04,Same Day,GT-14635,27217-000001
CA-2014-157784,2014-07-05,2014-07-08,First Class,MC-17845,39212-000001
CA-2017-161480,2017-12-25,2017-12-29,Standard Class,RA-19285,10035-000001
US-2014-117135,2014-06-21,2014-06-23,Second Class,NP-18325,22980-000001
CA-2015-131534,2015-03-28,2015-04-02,Standard Class,AB-10165,90036-000001
CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,19013-000001
CA-2017-114552,2017-09-02,2017-09-08,Standard Class,Dl-13600,44105-000001
CA-2016-163755,2016-11-04,2016-11-08,Second Class,AS-10285,98103-000001
CA-2015-142027,2015-04-09,2015-04-14,Standard Class,JK-15370,90805-000001
CA-2014-138527,2014-09-12,2014-09-17,Standard Class,BN-11470,27511-000001
CA-2014-112158,2014-12-02,2014-12-04,First Class,DP-13165,10035-000001
CA-2014-113887,2014-04-05,2014-04-07,First Class,TH-21550,10035-000001
CA-2017-146136,2017-09-03,2017-09-07,Standard Class,AP-10915,32137-000001
US-2017-100048,2017-05-19,2017-05-24,Standard Class,RS-19765,10550-000001
CA-2014-153150,2014-07-01,2014-07-06,Second Class,Dl-13600,98105-000001
CA-2014-130092,2014-01-11,2014-01-14,First Class,SV-20365,19901-000001
CA-2017-108910,2017-09-24,2017-09-29,Standard Class,KC-16540,43055-000001
CA-2014-104472,2014-06-02,2014-06-07,Standard Class,CK-12325,84057-000001
CA-2016-112942,2016-02-13,2016-02-18,Standard Class,RD-19810,90045-000001
CA-2016-142335,2016-12-15,2016-12-19,Standard Class,MP-17965,48205-000001
CA-2014-117429,2014-10-07,2014-10-13,Standard Class,MR-17545,19140-000001
CA-2016-114713,2016-07-07,2016-07-12,Standard Class,SC-20695,33012-000001
CA-2017-144113,2017-09-16,2017-09-20,Standard Class,JF-15355,78745-000001
US-2016-150861,2016-12-03,2016-12-06,First Class,EG-13900,11572-000001
CA-2017-131954,2017-01-21,2017-01-25,Standard Class,DS-13030,98115-000001
CA-2014-132500,2014-09-08,2014-09-12,Standard Class,GZ-14470,94110-000001
CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,60540-000001
US-2016-146710,2016-08-27,2016-09-01,Standard Class,SS-20875,75220-000001
