Address ID,Postal Code,City,State,Region,Country
43615-000001,43615,Toledo,Ohio,East,United States
87401-000001,87401,Farmington,New Mexico,West,United States
92503-000001,92503,Riverside,California,West,United States
90503-000001,90503,Torrance,California,West,United States
78664-000001,78664,Round Rock,Texas,Central,United States
92054-000001,92054,Oceanside,California,West,United States
33433-000001,33433,Boca Raton,Florida,South,United States
23464-000001,23464,Virginia Beach,Virginia,South,United States
92563-000001,92563,Murrieta,California,West,United States
28540-000001,28540,Jacksonville,North Carolina,South,United States
52601-000001,52601,Burlington,Iowa,Central,United States
98502-000001,98502,Olympia,Washington,West,United States
20016-000001,20016,Washington,District of Columbia,East,United States
65109-000001,65109,Jefferson City,Missouri,Central,United States
63376-000001,63376,Saint Peters,Missouri,Central,United States
61107-000001,61107,Rockford,Illinois,Central,United States
33142-000001,33142,Miami,Florida,South,United States
78521-000001,78521,Brownsville,Texas,Central,United States
10701-000001,10701,Yonkers,New York,East,United States
94601-000001,94601,Oakland,California,West,United States
28110-000001,28110,Monroe,North Carolina,South,United States
20735-000001,20735,Clinton,Maryland,East,United States
92024-000002,92024,Encinitas,California,West,United States
30076-000001,30076,Roswell,Georgia,South,United States
72401-000001,72401,Jonesboro,Arkansas,South,United States
47374-000001,47374,Richmond,Indiana,Central,United States
94509-000001,94509,Antioch,California,West,United States
33030-000001,33030,Homestead,Florida,South,United States
46350-000001,46350,La Porte,Indiana,Central,United States
48911-000001,48911,Lansing,Michigan,Central,United States
44221-000001,44221,Cuyahoga Falls,Ohio,East,United States
89502-000001,89502,Reno,Nevada,West,United States
22801-000001,22801,Harrisonburg,Virginia,South,United States
92025-000001,92025,Escondido,California,West,United States
48073-000001,48073,Royal Oak,Michigan,Central,United States
20852-000001,20852,Rockville,Maryland,East,United States
33065-000001,33065,Coral Springs,Florida,South,United States
14215-000001,14215,Buffalo,New York,East,United States
33437-000001,33437,Boynton Beach,Florida,South,United States
39503-000001,39503,Gulfport,Mississippi,South,United States
93727-000001,93727,Fresno,California,West,United States
27834-000001,27834,Greenville,North Carolina,South,United States
11561-000001,11561,Long Beach,New York,East,United States
35630-000001,35630,Florence,Alabama,South,United States
31204-000001,31204,Macon,Georgia,South,United States
52402-000001,52402,Cedar Rapids,Iowa,Central,United States
2908-000001,2908,Providence,Rhode Island,East,United States
81001-000001,81001,Pueblo,Colorado,West,United States
94533-000001,94533,Fairfield,California,West,United States
32725-000001,32725,Deltona,Florida,South,United States
42071-000001,42071,Murray,Kentucky,South,United States
6457-000001,6457,Middletown,Connecticut,East,United States
11520-000001,11520,Freeport,New York,East,United States
90660-000001,90660,Pico Rivera,California,West,United States
84604-000001,84604,Provo,Utah,West,United States
84062-000001,84062,Pleasant Grove,Utah,West,United States
30080-000001,30080,Smyrna,Georgia,South,United States
24153-000001,24153,Salem,Virginia,South,United States
44134-000001,44134,Parma,Ohio,East,United States
36608-000001,36608,Mobile,Alabama,South,United States
2740-000001,2740,New Bedford,Massachusetts,East,United States
75061-000001,75061,Irving,Texas,Central,United States
8360-000001,8360,Vineland,New Jersey,East,United States
85301-000001,85301,Glendale,Arizona,West,United States
14304-000001,14304,Niagara Falls,New York,East,United States
27360-000001,27360,Thomasville,North Carolina,South,United States
92683-000001,92683,Westminster,California,West,United States
38301-000001,38301,Jackson,Tennessee,South,United States
75019-000001,75019,Coppell,Texas,Central,United States
91767-000001,91767,Pomona,California,West,United States
89031-000001,89031,North Las Vegas,Nevada,West,United States
18103-000001,18103,Allentown,Pennsylvania,East,United States
19711-000001,19711,Newark,Delaware,East,United States
85281-000001,85281,Tempe,Arizona,West,United States
92677-000001,92677,Laguna Niguel,California,West,United States
8302-000001,8302,Bridgeton,New Jersey,East,United States
2149-000001,2149,Everett,Massachusetts,East,United States
13601-000001,13601,Watertown,New York,East,United States
54915-000001,54915,Appleton,Wisconsin,Central,United States
98006-000001,98006,Bellevue,Washington,West,United States
75002-000001,75002,Allen,Texas,Central,United States
79907-000001,79907,El Paso,Texas,Central,United States
76051-000001,76051,Grapevine,Texas,Central,United States
75007-000001,75007,Carrollton,Texas,Central,United States
37167-000001,37167,Smyrna,Tennessee,South,United States
98031-000001,98031,Kent,Washington,West,United States
70506-000001,70506,Lafayette,Louisiana,South,United States
97224-000001,97224,Tigard,Oregon,West,United States
60076-000001,60076,Skokie,Illinois,Central,United States
75023-000001,75023,Plano,Texas,Central,United States
23434-000001,23434,Suffolk,Virginia,South,United States
46203-000001,46203,Indianapolis,Indiana,Central,United States
7002-000001,7002,Bayonne,New Jersey,East,United States
28314-000001,28314,Fayetteville,North Carolina,South,United States
27405-000001,27405,Greensboro,North Carolina,South,United States
21215-000001,21215,Baltimore,Maryland,East,United States
53142-000001,53142,Kenosha,Wisconsin,Central,United States
66062-000001,66062,Olathe,Kansas,Central,United States
98002-000001,98002,Auburn,Washington,West,United States
74133-000001,74133,Tulsa,Oklahoma,Central,United States
97756-000001,97756,Redmond,Oregon,West,United States
27604-000001,27604,Raleigh,North Carolina,South,United States
74403-000001,74403,Muskogee,Oklahoma,Central,United States
6450-000001,6450,Meriden,Connecticut,East,United States
42104-000001,42104,Bowling Green,Kentucky,South,United States
46614-000001,46614,South Bend,Indiana,Central,United States
6010-000001,6010,Bristol,Connecticut,East,United States
89015-000001,89015,Henderson,Nevada,West,United States
99207-000001,99207,Spokane,Washington,West,United States
76248-000001,76248,Keller,Texas,Central,United States
45014-000001,45014,Fairfield,Ohio,East,United States
32127-000001,32127,Port Orange,Florida,South,United States
97504-000001,97504,Medford,Oregon,West,United States
22901-000001,22901,Charlottesville,Virginia,South,United States
59801-000001,59801,Missoula,Montana,West,United States
33178-000001,33178,Miami,Florida,South,United States
29501-000001,29501,Florence,South Carolina,South,United States
97477-000001,97477,Springfield,Oregon,West,United States
32712-000001,32712,Apopka,Florida,South,United States
19601-000001,19601,Reading,Pennsylvania,East,United States
80020-000001,80020,Broomfield,Colorado,West,United States
65807-000001,65807,Springfield,Missouri,Central,United States
7501-000001,7501,Paterson,New Jersey,East,United States
73120-000001,73120,Oklahoma City,Oklahoma,Central,United States
23320-000001,23320,Chesapeake,Virginia,South,United States
79424-000001,79424,Lubbock,Texas,Central,United States
65203-000001,65203,Columbia,Missouri,Central,United States
37604-000001,37604,Johnson City,Tennessee,South,United States
36830-000001,36830,Auburn,Alabama,South,United States
92404-000001,92404,San Bernardino,California,West,United States
1453-000001,1453,Leominster,Massachusetts,East,United States
59715-000001,59715,Bozeman,Montana,West,United States
85345-000001,85345,Peoria,Arizona,West,United States
44107-000001,44107,Lakewood,Ohio,East,United States
8861-000001,8861,Perth Amboy,New Jersey,East,United States
91761-000001,91761,Ontario,California,West,United States
91730-000001,91730,Rancho Cucamonga,California,West,United States
56560-000001,56560,Moorhead,Minnesota,Central,United States
75150-000001,75150,Mesquite,Texas,Central,United States
95207-000001,95207,Stockton,California,West,United States
32174-000001,32174,Ormond Beach,Florida,South,United States
94086-000001,94086,Sunnyvale,California,West,United States
3820-000001,3820,Dover,New Hampshire,East,United States
17403-000001,17403,York,Pennsylvania,East,United States
77840-000001,77840,College Station,Texas,Central,United States
63116-000001,63116,Saint Louis,Missouri,Central,United States
2169-000001,2169,Quincy,Massachusetts,East,United States
95336-000001,95336,Manteca,California,West,United States
44240-000001,44240,Kent,Ohio,East,United States
76903-000001,76903,San Angelo,Texas,Central,United States
84106-000001,84106,Salt Lake City,Utah,West,United States
35810-000001,35810,Huntsville,Alabama,South,United States
37918-000001,37918,Knoxville,Tennessee,South,United States
72209-000001,72209,Little Rock,Arkansas,South,United States
48146-000001,48146,Lincoln Park,Michigan,Central,United States
43302-000001,43302,Marion,Ohio,East,United States
80122-000001,80122,Littleton,Colorado,West,United States
5408-000001,5408,Burlington,Vermont,East,United States
4401-000001,4401,Bangor,Maine,East,United States
38671-000001,38671,Southaven,Mississippi,South,United States
47362-000001,47362,New Castle,Indiana,Central,United States
48640-000001,48640,Midland,Michigan,Central,United States
57103-000001,57103,Sioux Falls,South Dakota,Central,United States
80525-000001,80525,Fort Collins,Colorado,West,United States
47905-000001,47905,Lafayette,Indiana,Central,United States
37042-000001,37042,Clarksville,Tennessee,South,United States
95823-000001,95823,Sacramento,California,West,United States
91360-000001,91360,Thousand Oaks,California,West,United States
2148-000001,2148,Malden,Massachusetts,East,United States
1040-000001,1040,Holyoke,Massachusetts,East,United States
87105-000001,87105,Albuquerque,New Mexico,West,United States
89431-000001,89431,Sparks,Nevada,West,United States
92236-000001,92236,Coachella,California,West,United States
60126-000001,60126,Elmhurst,Illinois,Central,United States
7055-000001,7055,Passaic,New Jersey,East,United States
29406-000001,29406,North Charleston,South Carolina,South,United States
23602-000001,23602,Newport News,Virginia,South,United States
14701-000001,14701,Jamestown,New York,East,United States
46544-000001,46544,Mishawaka,Indiana,Central,United States
43402-000001,43402,Bowling Green,Ohio,East,United States
92253-000001,92253,La Quinta,California,West,United States
32303-000001,32303,Tallahassee,Florida,South,United States
37211-000001,37211,Nashville,Tennessee,South,United States
98226-000001,98226,Bellingham,Washington,West,United States
60098-000001,60098,Woodstock,Illinois,Central,United States
76117-000001,76117,Haltom City,Texas,Central,United States
60090-000001,60090,Wheeling,Illinois,Central,United States
29483-000001,29483,Summerville,South Carolina,South,United States
71901-000001,71901,Hot Springs,Arkansas,South,United States
80112-000001,80112,Englewood,Colorado,West,United States
43130-000001,43130,Lancaster,Ohio,East,United States
88001-000001,88001,Las Cruces,New Mexico,West,United States
35244-000001,35244,Hoover,Alabama,South,United States
75034-000001,75034,Frisco,Texas,Central,United States
95687-000001,95687,Vacaville,California,West,United States
84107-000001,84107,Murray,Utah,West,United States
53186-000001,53186,Waukesha,Wisconsin,Central,United States
93309-000001,93309,Bakersfield,California,West,United States
33068-000001,33068,Pompano Beach,Florida,South,United States
45373-000001,45373,Troy,Ohio,East,United States
78415-000001,78415,Corpus Christi,Texas,Central,United States
90278-000001,90278,Redondo Beach,California,West,United States
32839-000001,32839,Orlando,Florida,South,United States
7050-000001,7050,Orange,New Jersey,East,United States
70601-000001,70601,Lake Charles,Louisiana,South,United States
60035-000001,60035,Highland Park,Illinois,Central,United States
11550-000001,11550,Hempstead,New York,East,United States
46060-000001,46060,Noblesville,Indiana,Central,United States
55124-000001,55124,Apple Valley,Minnesota,Central,United States
29464-000001,29464,Mount Pleasant,South Carolina,South,United States
48310-000001,48310,Sterling Heights,Michigan,Central,United States
54703-000001,54703,Eau Claire,Wisconsin,Central,United States
78577-000001,78577,Pharr,Texas,Central,United States
59102-000001,59102,Billings,Montana,West,United States
97030-000001,97030,Gresham,Oregon,West,United States
37421-000001,37421,Chattanooga,Tennessee,South,United States
83642-000001,83642,Meridian,Idaho,West,United States
92307-000001,92307,Apple Valley,California,West,United States
60440-000001,60440,Bolingbrook,Illinois,Central,United States
55369-000001,55369,Maple Grove,Minnesota,Central,United States
95695-000001,95695,Woodland,California,West,United States
77489-000001,77489,Missouri City,Texas,Central,United States
77581-000001,77581,Pearland,Texas,Central,United States
94403-000001,94403,San Mateo,California,West,United States
49505-000001,49505,Grand Rapids,Michigan,Central,United States
93277-000001,93277,Visalia,California,West,United States
66212-000001,66212,Overland Park,Kansas,Central,United States
92592-000001,92592,Temecula,California,West,United States
92399-000001,92399,Yucaipa,California,West,United States
2151-000001,2151,Revere,Massachusetts,East,United States
77301-000001,77301,Conroe,Texas,Central,United States
60477-000001,60477,Tinley Park,Illinois,Central,United States
52001-000001,52001,Dubuque,Iowa,Central,United States
48127-000001,48127,Dearborn Heights,Michigan,Central,United States
87505-000001,87505,Santa Fe,New Mexico,West,United States
28601-000001,28601,Hickory,North Carolina,South,United States
60188-000001,60188,Carol Stream,Illinois,Central,United States
56301-000001,56301,Saint Cloud,Minnesota,Central,United States
33161-000001,33161,North Miami,Florida,South,United States
46226-000001,46226,Lawrence,Indiana,Central,United States
33317-000001,33317,Plantation,Florida,South,United States
34952-000001,34952,Port Saint Lucie,Florida,South,United States
29730-000001,29730,Rock Hill,South Carolina,South,United States
79762-000001,79762,Odessa,Texas,Central,United States
53214-000001,53214,West Allis,Wisconsin,Central,United States
91911-000001,91911,Chula Vista,California,West,United States
66502-000001,66502,Manhattan,Kansas,Central,United States
16602-000001,16602,Altoona,Pennsylvania,East,United States
80229-000001,80229,Thornton,Colorado,West,United States
61821-000001,61821,Champaign,Illinois,Central,United States
47401-000001,47401,Bloomington,Indiana,Central,United States
71854-000001,71854,Texarkana,Arkansas,South,United States
78539-000001,78539,Edinburg,Texas,Central,United States
77520-000001,77520,Baytown,Texas,Central,United States
46142-000001,46142,Greenwood,Indiana,Central,United States
90712-000001,90712,Lakewood,California,West,United States
2895-000001,2895,Woonsocket,Rhode Island,East,United States
54880-000001,54880,Superior,Wisconsin,Central,United States
76021-000001,76021,Bedford,Texas,Central,United States
98042-000001,98042,Covington,Washington,West,United States
74012-000001,74012,Broken Arrow,Oklahoma,Central,United States
33023-000001,33023,Miramar,Florida,South,United States
33021-000001,33021,Hollywood,Florida,South,United States
77536-000001,77536,Deer Park,Texas,Central,United States
67212-000001,67212,Wichita,Kansas,Central,United States
78501-000001,78501,Mcallen,Texas,Central,United States
52240-000001,52240,Iowa City,Iowa,Central,United States
83704-000001,83704,Boise,Idaho,West,United States
2920-000001,2920,Cranston,Rhode Island,East,United States
61032-000001,61032,Freeport,Illinois,Central,United States
77642-000001,77642,Port Arthur,Texas,Central,United States
95610-000001,95610,Citrus Heights,California,West,United States
75056-000001,75056,The Colony,Texas,Central,United States
98052-000001,98052,Redmond,Washington,West,United States
32114-000001,32114,Daytona Beach,Florida,South,United States
86442-000001,86442,Bullhead City,Arizona,West,United States
46368-000001,46368,Portage,Indiana,Central,United States
58103-000001,58103,Fargo,North Dakota,Central,United States
46514-000001,46514,Elkhart,Indiana,Central,United States
91776-000001,91776,San Gabriel,California,West,United States
33063-000001,33063,Margate,Florida,South,United States
30328-000001,30328,Sandy Springs,Georgia,South,United States
44060-000001,44060,Mentor,Ohio,East,United States
73505-000001,73505,Lawton,Oklahoma,Central,United States
23666-000001,23666,Hampton,Virginia,South,United States
13440-000001,13440,Rome,New York,East,United States
54601-000001,54601,La Crosse,Wisconsin,Central,United States
83501-000001,83501,Lewiston,Idaho,West,United States
39401-000001,39401,Hattiesburg,Mississippi,South,United States
94526-000001,94526,Danville,California,West,United States
48858-000001,48858,Mount Pleasant,Michigan,Central,United States
84321-000001,84321,Logan,Utah,West,United States
6708-000001,6708,Waterbury,Connecticut,East,United States
30605-000001,30605,Athens,Georgia,South,United States
4240-000001,4240,Lewiston,Maine,East,United States
61832-000001,61832,Danville,Illinois,Central,United States
85323-000001,85323,Avondale,Arizona,West,United States
30062-000001,30062,Marietta,Georgia,South,United States
85364-000001,85364,Yuma,Arizona,West,United States
54401-000001,54401,Wausau,Wisconsin,Central,United States
99301-000001,99301,Pasco,Washington,West,United States
60302-000001,60302,Oak Park,Illinois,Central,United States
32503-000001,32503,Pensacola,Florida,South,United States
77573-000001,77573,League City,Texas,Central,United States
20877-000001,20877,Gaithersburg,Maryland,East,United States
84043-000001,84043,Lehi,Utah,West,United States
35401-000001,35401,Tuscaloosa,Alabama,South,United States
92553-000001,92553,Moreno Valley,California,West,United States
40324-000001,40324,Georgetown,Kentucky,South,United States
80538-000001,80538,Loveland,Colorado,West,United States
85224-000001,85224,Chandler,Arizona,West,United States
59601-000001,59601,Helena,Montana,West,United States
63122-000001,63122,Kirkwood,Missouri,Central,United States
76706-000001,76706,Waco,Texas,Central,United States
48066-000001,48066,Roseville,Michigan,Central,United States
60423-000001,60423,Frankfort,Illinois,Central,United States
18018-000001,18018,Bethlehem,Pennsylvania,East,United States
55113-000001,55113,Roseville,Minnesota,Central,United States
68801-000001,68801,Grand Island,Nebraska,Central,United States
55125-000001,55125,Woodbury,Minnesota,Central,United States
48237-000001,48237,Oak Park,Michigan,Central,United States
72756-000001,72756,Rogers,Arkansas,South,United States
88101-000001,88101,Clovis,New Mexico,West,United States
33458-000001,33458,Jupiter,Florida,South,United States
93101-000001,93101,Santa Barbara,California,West,United States
75104-000001,75104,Cedar Hill,Texas,Central,United States
68701-000001,68701,Norfolk,Nebraska,Central,United States
84020-000001,84020,Draper,Utah,West,United States
48104-000001,48104,Ann Arbor,Michigan,Central,United States
91941-000001,91941,La Mesa,California,West,United States
83201-000001,83201,Pocatello,Idaho,West,United States
49423-000001,49423,Holland,Michigan,Central,United States
6460-000001,6460,Milford,Connecticut,East,United States
60089-000001,60089,Buffalo Grove,Illinois,Central,United States
92630-000001,92630,Lake Forest,California,West,United States
96003-000001,96003,Redding,California,West,United States
95928-000001,95928,Chico,California,West,United States
13501-000001,13501,Utica,New York,East,United States
72032-000001,72032,Conway,Arkansas,South,United States
82001-000001,82001,Cheyenne,Wyoming,West,United States
42301-000001,42301,Owensboro,Kentucky,South,United States
83605-000001,83605,Caldwell,Idaho,West,United States
70065-000001,70065,Kenner,Louisiana,South,United States
3060-000001,3060,Nashua,New Hampshire,East,United States
38134-000001,38134,Bartlett,Tennessee,South,United States
94061-000001,94061,Redwood City,California,West,United States
37087-000001,37087,Lebanon,Tennessee,South,United States
93454-000001,93454,Santa Maria,California,West,United States
60016-000001,60016,Des Plaines,Illinois,Central,United States
98632-000001,98632,Longview,Washington,West,United States
37075-000001,37075,Hendersonville,Tennessee,South,United States
50701-000001,50701,Waterloo,Iowa,Central,United States
